# base64 English<TAB>base64 Japanese
QXJlIHlvdSB1cA==	44GK5ZWP44GE5ZCI44KP44Gb
RmluZS4gSSBuZWVkIHRvIHNob3cgeW91IHNvbWV0aGluZyBiZWZvcmUgc2hlIHdha2VzIHVwLg==	6Imv44GE44CCIOebruOCkuimmuOBvuOBmeWJjeOBq+S9leOBi+OCkuimi+OBm+OCi+W/heimgeOBjOOBguOCiuOBvuOBmeOAgg==
VGhyZWUgZGF5cyBvZiBub3Qgc2xlZXBpbmcuIEZpbmlzaGVkIGl0IGFyb3VuZCAzIGxhc3QgbmlnaHQu	5a+d44Gm44GE44Gq44GEM+aXpeOAgiDntYLlpJwz5Zue56iL5bqm44Gn5LuV5LiK44GS44G+44GX44Gf44CC
WW91IHJlbWVtYmVyIHRoZSBwaG90byBJIHNlbnQgeW91IGZyb20gdGhlIGNsYXNz	44Kv44Op44K544GL44KJ6YCB44KJ44KM44Gf5YaZ55yf44KS6Kaa44GI44Gm44GE44KL
SGVyIGZyb20gYmVoaW5kLiBNaWRkbGUgb2YgdGhlIHJvb20uIE5vdGhpbmcgb24u	5b6M44KN44GL44KJ44CCIOOBiumDqOWxi+OBruecn+OCk+S4reOAgiDjgrPjg6Hjg7Pjg4jjga/jgYLjgorjgb7jgZvjgpPjgII=
TGlnaHQgY29taW5nIG9uIGhlcg==	5YWJ44Gv5b285aWz44Gr5p2l44KL
SGVyIGluIHRoZSBtaWRkbGUgb2YgdGhlIHJvb20gaW4gdGhlIHdoaXRlIHNldCwgZWFzZWxzIGFsbCBhcm91bmQgaGVy	5b285aWz44GuIOOBqyDjga4g44Or44O844OgIOOBriDjgrbCtyDnmb0gc2V0LCBlYXN5bHMgYWxsIGFyb3VuZCDlvbzlpbPjga4=
Q2hhcmNvYWwgZHJhd2luZ3Mgb2YgaGVyIG9uIGV2ZXJ5IG9uZSBvZiB0aGVt	5b2844KJ5YWo5ZOh44Gr5b285aWz44Gu44OB44Oj44Kz44O844Or44Gu5Zuz6Z2i
SSBzdGFydGVkIGl0IHRoYXQgbmlnaHQuIEFmdGVyIHNoZSBmZWxsIGFzbGVlcC4=	5aSc44GL44KJ5aeL44G+44KK44G+44GX44Gf44CCIOecoOOCiuOBq+iQveOBoeOBn+W+jOOAgg==
Tm9ib2R5IGtub3dzLiBOb3QgaGVyLCBub3QgdGhlIGNsYXNzLCBub3QgeW91IHVudGlsIHRoaXJ0eSBzZWNvbmRzIGFnby4=	6Kqw44KC55+l44KJ44Gq44GE44CCIOaxuuOBl+OBpuOAgeOCr+ODqeOCueOBp+OBr+OBquOBj+OAgTMw56eS5YmN44G+44Gn44Gv44GE44GR44G+44Gb44KT44CC
QmVjYXVzZSBJIGRpZG4ndCBrbm93IGlmIGl0IHdhcyBnb2luZyB0byBiZSBhbnkgZ29vZA==	5L2V44GL6Imv44GE44GL44KP44GL44KJ44Gq44GE44Gu44Gn
VGhlIGdyZWVuIGRyZXNzIHRvb2sgdHdvIGhvdXJzLiBUaGlzIG9uZSBJIHN0YXJ0ZWQgdGhyZWUgdGltZXMu	57eR44Gu44OJ44Os44K544GvMuaZgumWk+OBi+OBi+OCiuOBvuOBl+OBn+OAgiAz5Zue44K544K/44O844OI44GX44G+44GX44Gf44CC
VGhhdCBvbmUgd2FzIGhlciBwb3NpbmcuIFRoaXMgb25lIGhhcyBmaXZlIHBlb3BsZSBsb29raW5nIGF0IGhlciwgYW5kIG1lIGJlaGluZCBhbGwgb2YgdGhlbSBsb29raW5nIGF0IHRoZW0gbG9vaw==	44Gd44Gu5Lq644Gv5b285aWz44Gu44Od44O844K644Gn44GX44Gf44CCIOOBk+OBrjHjgaTjga/jgIHlvbzlpbPjgpLopovjgabjgYTjgos15Lq644Gu5Lq644CF44Go44CB44Gd44KM44KJ44KS6KaL44Gm44GE44KL44GZ44G544Gm44Gu6IOM5b6M44Gr44GC44KL56eB44KS5oyB44Gj44Gm44GE44G+44GZ
SSB3YW50IGhlciB0byBzZWUgaXQgZmlyc3QuIEJlZm9yZSBhbnlvbmUu	44G+44Ga44Gv6KaL44Gf44GE44CCIOiqsOOCiOOCiuOCgg==
WW91J2xsIHNlZSBpdCB0aGUgc2FtZSBtb21lbnQgc2hlIGRvZXM=	5ZCM44GY556s6ZaT44CB5b285aWz44Gv44Gd44GG6KaL44G+44GZ
VGhlcmUncyBzb21ldGhpbmcgZWxzZQ==	44Gd44Gu5LuW5L2V44GL
SSdtIGRvaW5nIGEgdmlld2luZyB0b25pZ2h0LiBTbWFsbCBvbmUsIGVuZCBvZiBzZWFzb24u	5aSc44KS55y644KB44KL44Gk44KC44KK44Gn44GZ44CCIOWto+evgOmZkOWumuOBruWwj+OBleOBmDHmnKzjgII=
VGhlIGNsYXNzIGZpcnN0LCBhdCBzaXguIFRoZW4gd2hvZXZlciB0dXJucyB1cCBvZmYgdGhlIHN0cmVldCBhdCBzZXZlbi4=	44G+44Ga44GvNuOCr+ODqeOCueOAgiDjgZ3jga7lvozjgIE36ZqO44Gu6YCa44KK44KS6ISx44GE44Gn44GE44G+44GZ44CC
VGhlIHBhaW50aW5nIGdvZXMgb24gdGhlIHdhbGwuIEFuZCB5b3VyIHdpZmUgc3RhbmRzIG5leHQgdG8gaXQu	57W155S744Gv5aOB44Gr6KGM44GN44G+44GZ44CCIOOBneOBl+OBpuOAgeOBguOBquOBn+OBruWmu+OBr+OBneOCjOOBrumao+OBq+eri+OBo+OBpuOBhOOBvuOBmeOAgg==
SSBkaWTigKYgYW5kIHRoYXQncyB0aGF0	44KE44Gj44GfLi4u44CC
SSBkbyBhIHNtYWxsIHZpZXdpbmcgYXQgdGhlIGVuZCBvZiBldmVyeSBzZWFzb24uIEZpZnRlZW4sIHR3ZW50eSBwZW9wbGUu	5Zub5a2j5oqY44CF44Gu56uv44Gr5bCP44GV44Gq5pmv6Imy44KS55y644KB44G+44GZ44CCIDE15ZCN44CBMjDlkI0=
SSB3YW50IHRoZSBjbGFzcyBpbiBmaXJzdCB0aG91Z2guIFNpeCBvJ2Nsb2NrLCBiZWZvcmUgdGhlIGRvb3JzIG9wZW4u	44G+44Ga44Gv44Kv44Op44K544KS44GX44Gf44GE44CCIOODieOCouOBjOmWi+OBj+WJjeOBq+OAgTbmmYLmmYLoqIjjgII=
VGhleSB3ZXJlIGluIHRoZSByb29tLiBUaGV5J3JlIHRoZSBvbmx5IHBlb3BsZSBhbGl2ZSB3aG8gc2F3IHRoZSByZWFsIHRoaW5nLg==	44GK6YOo5bGL44Gr44GC44KK44G+44GX44Gf44CCIOWun+eJqeOCkuimi+OBpuOBhOOCi+S6uuOBoOOBkeOBjOeUn+OBjeOBpuOCi+OCk+OBp+OBmeOAgg==
QW5kIEkgd2FudCBoZXIgc3RhbmRpbmcgbmV4dCB0byBpdCB3aGVuIHRoZXkgbG9vayBhdCBpdA==	44Gd44GX44Gm44CB44Gd44Gu5qiq44Gr56uL44Gj44Gm44G/44KL44Go44CB
VGhhdCdzIGEgYmlnIGFzayBzbyBJJ20gYXNraW5nIHlvdSBiZWZvcmUgSSBhc2sgaGVy	44Go44Gm44KC5aSn44GN44KB44Gu6LOq5ZWP44Gn44GZ44CC
U2hlJ2xsIHNheSB5ZXMgaWYgeW91J3JlIG9rYXkgd2l0aCBpdC4gU2hlIHNob3VsZG4ndCBoYXZlIHRvIGd1ZXNzIHdoZXRoZXIgeW91IGFyZS4=	44Go44Gv44GE44GI44CB5aSn5LiI5aSr44Gn44GZ44CCIOOBi+OBqeOBhuOBi+aOqOa4rOOBmeOCi+W/heimgeOBr+OBguOCiuOBvuOBm+OCk+OAgg==
VGhhbmtzIG1hbg==	5oSf6Kyd44Gu55S3
U2hlJ2xsIGJlIHVwIGxhdGUgdG9kYXkuIEknbGwgbGV0IHlvdSB0ZWxsIGhlci4=	5LuK5pel44Gv6YGF44GP44Gq44KK44G+44GZ44CCIOOBiuWVj+OBhOWQiOOCj+OBmw==
QmV0dGVyIGNvbWluZyBmcm9tIHlvdQ==	55qG5qeY44Gu44GK6LaK44GX44KS44GK5b6F44Gh44GX44Gm44GK44KK44G+44GZ44CC
TGV0J3MgYmUgdmFndWUgbW9yZSBmdW4gcmlnaHQ=	44KC44Gj44Go5qW944GX44G/44G+44GX44KH44GG
KDs=	KDs7Ow==
QWJvdXQgYW4gaG91ciBsYXRlci4uLg==	44GC44GoMeaZgumWk+OBu+OBqeOAgg==
R29vZCBtb3JuaW5nIGJhYnk=	44GK44Gv44KI44GG44OZ44OT44O8
Li4u	44O744O744O7
SGUgd2hhdA==	5b2844Gv5L2V44KS
QWxsb3dlZA==	6Kix5Y+v44GV44KM44KL
QUxMT1dFRD8=	44GK5ZWP44GE5ZCI44KP44Gb
U2luY2Ugd2hlbiBkbyB5b3UgdGFrZSBvcmRlcnMgZnJvbSBMZW8=	44Os44Kq44GL44KJ5rOo5paH44KS5Y+W44KL44Go44GN5Lul5p2l
SXMgaXQgYmFk	44Gd44KM44Gv5oKq44GE44Gn44GZ
VGhlbiBURUxMIE1F	44GK5ZWP44GE5ZCI44KP44Gb
SSdsbCBnZXQgaXQgb3V0IG9mIGhpbQ==	56eB44Gv5b2844GL44KJ44Gd44KM44KS5b6X44KL
VGhyZWUgREFZUz8=	M+aXpemWkw==
SSd2ZSBTRUVOIGhpbS4gV2UndmUgYmVlbiB0ZXh0aW5nIG5vbiBzdG9wIGFuZCBoZSBoYXNuJ3Qgc2FpZCBvbmUgd29yZA==	56eB44Gv5b2844Gr5Lya44GE44G+44GZ44CCIOODjuODs+OCueODiOODg+ODl+OCkuODhuOCreOCueODiOWMluOBl+OAgTHjgaTjga7ljZjoqp7jgYzjgarjgYvjgaPjgZ8=
SSdtIGdvaW5nIHRvIGtpbGwgYm90aCBvZiB5b3U=	5Lih5pa544KS5q6644GZ44Gk44KC44KK44Gn44GZ
VGhlIGNsYXNz	44Kv44Op44K5
T2ggbXkgZ29k	56We5qeY44Gu56We5qeY
TmV4dCB0byBXSEFU	5qyh44G4
SSBsb3ZlIHlvdSBidXQgSSBoYXRlIHlvdSByaWdodCBub3c=	56eB44Gv44GC44Gq44Gf44KS5oSb44GX44Gm44GE44G+44GZ44GM44CB56eB44Gv5LuK44GC44Gq44Gf44KS5oaO44KA
QmFiZQ==	44OZ44Kk44OW
V2l0aG91dCBhc2tpbmcgbWU/	44GK5ZWP44GE5ZCI44KP44Gb
Li4uTm8=	Li4uTm8u
Tm8geW91IHdlcmVuJ3QgaGloaQ==	5rCX44Gr44GX44Gq44GE
SSBqdXN0IG5lZWRlZCBhIHNlY29uZA==	56eB44GvMuenkuOBoOOBkeW/heimgQ==
SSBsaWtlIHRoYXQgeW91IHNhaWQgdGhhdA==	56eB44Gv44GC44Gq44Gf44GM6KiA44Gj44Gf44GT44Go44KS5aW944GN
QnV0IHlvdSBrbm93IEknbSBnb2luZyB0byBhc2sgd2hhdCB5b3Ugd2FudCBhbnl3YXk=	44GX44GL44GX44CB56eB44Gv44GC44Gq44Gf44GM44Go44Gr44GL44GP5qyy44GX44GE44KC44Gu44KS5bCL44Gt44KL44Gk44KC44KK44Gg55+l44Gj44Gm44GE44KL
VGhlbiBzYXkgdGhhdCBmaXJzdCBuZXh0IHRpbWUgaGloaQ==	44GZ44KL44Go44CB5qyh44Gv44OS44OS44OS44GM5Yid44KB44Gm44GE44KL44Go6KiA44GE44G+44GZ44CC
T2theS4gSSdtIGRvaW5nIGl0Lg==	44GK5ZWP44GE5ZCI44KP44GbIOOBiuWVj+OBhOWQiOOCj+OBmw==
SSBuZWVkIHRvIGZpZ3VyZSBvdXQgd2hhdCBJJ20gd2VhcmluZyBJTU1FRElBVEVMWQ==	6Lqr44Gr552A44GR44Gm44GE44KL44KC44Gu44KS6KaL44Gk44GR44KL5b+F6KaB44GM44GC44KK44G+44GZ44CC
QmFiZSBJIGFtIGdldHRpbmcgZHJlc3NlZCBmb3Igc29tZXRoaW5nIGFuZCBJIGRvIG5vdCBrbm93IHdoYXQgaXQgaXM=	44OZ44Kk44OWIOengeOBr+S9leOBi+OBruOBn+OCgeOBq+acjeOCkuedgOOBpuOBhOOCi+OBqOengeOBr+OBneOCjOOBjOS9leOBp+OBguOCi+OBi+OCj+OBi+OCieOBquOBhA==
SSBjb3VsZCBiZSBvdmVyZHJlc3NlZC4gSSBjb3VsZCBiZSB3aWxkbHkgdW5kZXJkcmVzc2VkLg==	44GK5ZWP44GE5ZCI44KP44GbIOengeOBr+mHjueUn+eahOOBq+acjeOCkuedgOOBpuOBhOOCi+WPr+iDveaAp+OBjOOBguOCiuOBvuOBmeOAgg==
QSBmZXcgaG91cnMgbGF0ZXIuLi4=	5pWw5pmC6ZaT5b6M44GrLi4u
T3B0aW9ucy4=	44Kq44OX44K344On44Oz44CC
VGhlIHNhZmUgb25lIG9yIHRoZSBub3Qgc2FmZSBvbmU=	5a6J5YWo44GqMeOBpOOBvuOBn+OBr+WuieWFqOOBqjHjgaQ=
SSBkby4gSSB3YW50IHlvdSB0byBzYXkgaXQu	44GK5ZWP44GE5ZCI44KP44GbIOiogOOBhOOBn+OBhOOAgg==
T2J2aW91c2x5IHRoZSBibGFjayBvbmU=	5piO44KJ44GL44Gr6buSIDE=
SSBqdXN0IG5lZWRlZCBwZXJtaXNzaW9uIGhpaGk=	56eB44Gv44Gh44KH44GG44Gp6Kix5Y+v44GuaGloaWhp44KS5b+F6KaB44Go44GX44Gm44GE44G+44GX44Gf
WW91J3JlIG5vdCBldmVuIHByZXRlbmRpbmcgYW55bW9yZQ==	44GC44Gq44Gf44Gv44KC44GG57WC44KP44KJ44Gq44GE
aGloaS4gSGUnZCBwaWNrIHRoZSBibGFjayBvbmUu	44OP44Kk44OP44KkIOm7kuOCkuS4gOOBpOmBuOOBs+OBvuOBmeOAgg==
VGhlbiB0aGlzIGdvZXMgdW5kZXIgaXQ=	44Gd44KM44GL44KJ44GT44KM44Gv44Gd44KM44Gu5LiL44Gn6KGM44GP
U3RpbGwgZml0cyAoOw==	44Gd44KM44Gn44KC5ZCI44GGKDs=
QW5kIEkgaGF2ZW4ndCB3b3JuIGl0IG9uY2UuIEkgd2FzIHdhaXRpbmcgZm9yIHNvbWV0aGluZyB0byBiZSB3b3J0aCBpdC4=	5LiA5bqm552A55So44GX44Gm44GK44KJ44Ga44CCIOS+oeWApOOBguOCi+OCguOBruOCkuW+heOBo+OBpuOBhOOBvuOBl+OBn+OAgg==
TG9vayBhdCB3aGF0IEknbSBhYm91dCB0byBwdXQgYSBkcmVzcyBvdmVy	5pyN44KS552A44Gm5pyN44KS552A44KL44Gk44KC44KK44Gn44GZ
SXRzIGdvaW5nIHRvIGJlIHVuZGVyIHRoZXJlIHRoZSB3aG9sZSBuaWdodCBiYWJl	44Gd44GuIOihjOOBjyDjgbgg44Gd44GTIOWFqOS9k+OBriDlpJwg44OZ44Kk44OW
V2hpbGUgSSBzdGFuZCBpbiBhIHJvb20gYW5kIHRhbGsgdG8gc3RyYW5nZXJzIGFib3V0IGFydA==	56eB44Gv6YOo5bGL44Gr56uL44Gh44CB576O6KGT44Gr44Gk44GE44Gm6KaL55+l44KJ44Gs5Lq644Gr6Kmx44GX44Gq44GM44KJ
QW5kIG5vYm9keSB3aWxsIGV2ZW4ga25vdw==	6Kqw44KC55+l44KJ44Gq44GE
WW91IHdpbGwuIEFuZCBMZW8gd2lsbC4=	44GK5ZWP44GE5ZCI44KP44GbIOOBneOBl+OBpuODrOOCquOBr+OAgg==
VGhhdHMgdGhlIHdob2xlIHBvaW50IGlzbid0IGl0	44Gd44KM44Gg44GR44Gn44Gv44GC44KK44G+44Gb44KT
Q291bGQgYmUgc2l4IHBlb3BsZSB0b25pZ2h0LiBDb3VsZCBiZSBzaXh0eS4=	5aSc44GvNuS6uuOBp+aziuOBvuOCiuOBvuOBmeOAgiA2IOats+OBq+OBquOCi+OAgg==
QW5kIG5vdCBvbmUgb2YgdGhlbSBpcyBnb2luZyB0byBrbm93IHdoYXRzIG9uIHVuZGVyIHRoaXM=	44Gd44GX44Gm44CB44Gd44KM44KJ44Gu44GG44Gh44GuMeOBpOOBr+OAgeOBk+OBruS4i+OBq+OBguOCi+OCguOBruOCkuefpeOCi+OBpOOCguOCiuOBr+OBquOBhA==
T3Igd2hvIEkgcHV0IGl0IG9uIGZvcg==	56eB44Gv44Gd44KM44KS44Gu44Gf44KB44Gr572u44GE44Gf44GL44CB
Tm8gYmFieS4gTm90IGZvciB5b3Uu	44OZ44OT44O844Gq44GXIOOBiuWVj+OBhOWQiOOCj+OBmw==
QnV0IHlvdSBnZXQgdG8ga25vdyBhYm91dCBpdC4gVGhhdHMgeW91ciBwYXJ0Lg==	44GX44GL44GX44CB44GC44Gq44Gf44Gv44Gd44KM44Gr44Gk44GE44Gm55+l44Gj44Gm44KC44KJ44GG44CCIOOBguOBquOBn+OBrumDqOWIhuOBp+OBmeOAgg==
R29vZGJveQ==	44Kw44OD44OJ44Oc44O844Kk
SSdtIG5lcnZvdXM=	56eB44Gv57eK5by144GX44Gm44GE44G+44GZ
SSBkb250IGV2ZW4ga25vdyB3aGF0IEknbSBuZXJ2b3VzIEZPUg==	56eB44Gv44CB56eB44GM56We57WM6LOq44Gn44GC44KL44GT44Go44KS55+l44KJ44Gq44GP44Gm44KC
VGhhdHMgdGhlIHdvcnN0IHBhcnQgaGloaQ==	5pyA5oKq44Gu6YOo5YiGIGhpaGk=
V2hhdGV2ZXIgaXQgaXMgaGUncyBiZWVuIHdvcmtpbmcgb24gaXQgdGhyZWUgZGF5cw==	5b2844GMM+aXpemWk+OBp+WDjeOBhOOBpuOBhOOBn+OBk+OBqOOBrw==
SSBqdXN0IHdhbnQgdG8gZG8gaXQganVzdGljZQ==	56eB44Gv44Gh44KH44GG44Gp5q2j576p44KS44GX44Gf44GE
RG9udCBtYWtlIG1lIGNyeSBiZWZvcmUgbXkgbWFrZXVw	56eB44Gu44Oh44Kk44Kv44Gu5YmN44Gr56eB44KS5rOj44GL44Gb44Gq44GE44Gn44GP44Gg44GV44GE
Q2FyJ3MgaGVyZQ==	44Os44Oz44K/44Kr44O844Gv44GT44Gh44KJ
V2lzaCBtZSBsdWNr	56eB44KS5Zac44Gw44Gb44KL
U2F5IGl0IGFueXdheQ==	44Go44Gr44GL44GP6KiA44GG
MzAgbWludXRlcyBsYXRlci4uLg==	MzDliIblvowuLi4=
SSdtIGhlcmUuIFRoZSBzdHVkaW8gbG9va3MgY29tcGxldGVseSBkaWZmZXJlbnQu	44GK5ZWP44GE5ZCI44KP44GbIOOCueOCv+OCuOOCquOBr+WujOWFqOOBq+eVsOOBquOBo+OBpuOBhOOBvuOBmeOAgg==
SGUgbW92ZWQgYWxsIHRoZSBlYXNlbHMgb3V0LiBUaGUgcm9vbSBpcyB0aGUgd3Jvbmcgc2hhcGUgd2l0aG91dCB0aGVtLg==	5b2844Gv44GZ44G544Gm44Gu44Kk44O844K844Or44Ki44Km44OI44KS56e75YuV44GX44G+44GX44Gf44CCIOmDqOWxi+OBr+OAgeOBneOCjOOCieOBquOBl+OBp+mWk+mBleOBo+OBn+W9ouOBp+OBmeOAgg==
QW5kIHRoZXJlcyBhIFRISU5HIGluIHRoZSBtaWRkbGUgb2YgaXQgdW5kZXIgYSBzaGVldA==	44Gd44GX44Gm44CB44K344O844OI44Gu5LiL44Gr44Gd44Gu5Lit5aSu44GrVEhJTkfjgYzjgYLjgorjgb7jgZk=
QmFiZSBJJ20gbm90IHN0dXBpZC4gSXRzIGEgY2FudmFzLg==	44OZ44Kk44OWIOengeOBr3N0dXBpZOOBp+OBr+OBguOCiuOBvuOBm+OCk+OAgiDjgq3jg6Pjg7Pjg5DjgrnjgII=
SGUgc2FpZCAiSSdtIG5vdCBjb25maXJtaW5nIGFueXRoaW5nIHVudGlsIHNpeCBvJ2Nsb2NrIg==	44CMNuaZguOBvuOBp+S9leOCgueiuuiqjeOBl+OBpuOBhOOBquOBhOOAjeOBqOW9vOOBr+iogOOBhOOBvuOBl+OBnw==
SGUgaXMgRU5KT1lJTkcgdGhpcy4gSGUncyBiZWVuIGVuam95aW5nIGl0IGZvciB0aHJlZSBkYXlzLg==	44GT44KT44Gq5oSf44GY44Gn44GZ44CCIDPml6XplpPmpb3jgZfjgpPjgafjgYTjgb7jgZnjgII=
VGhlIHBsYXN0aWMgY3VwcyBhcmUgZm9yIGV2ZXJ5b25lIGVsc2U=	44OX44Op44K544OB44OD44Kv44Kr44OD44OX44Gv44CB5LuW44Gu44GZ44G544Gm44Gu5Lq644Gu44Gf44KB44Gr44GC44KK44G+44GZ
VXMgaGloaQ==	44GK5ZWP44GE5ZCI44KP44Gb
U29ycnkuIEhpbSBhbmQgbWUu	44GK5ZWP44GE5ZCI44KP44GbIOOBk+OCk+OBq+OBoeOBr+OAgg==
SGUncyB0ZWxsaW5nIG1lIHRvIHB1dCB0aGUgcGhvbmUgZG93bi4gSGUgd2FudHMgdG8gZG8gdGhpcyBwcm9wZXJseS4=	5pC65biv6Zu76Kmx44KS5LiL44Gr572u44GP44Gf44KB44Gr56eB44Gr6KiA44Gj44Gm44GE44G+44GZ44CCIOOBk+OCjOOCkuato+OBl+OBj+OChOOCiuOBn+OBhOOAgg==
MjAgbWludXRlcyBsYXRlci4uLg==	MjDliIblvowuLi4=
YmFiZQ==	44OZ44Kk44OW
Z2l2ZSBtZSBhIHNlY29uZA==	56eB44Gr56eS44KS5LiO44GI44KL
SSdtIGFjdHVhbGx5IHNoYWtpbmcgYSBsaXR0bGU=	56eB44Gv5a6f6Zqb44Gr5bCR44GX5o+644KM44KL
SXRzIE1F	56eB44Gr44Gk44GE44Gm
SGUgcGFpbnRlZCBNRQ==	5b2844Gv56eB44Gr5aGX44KJ44KM44Gf
SXRzIHRoZSBzZWNvbmQgc2Vzc2lvbg==	56ysMuOCu+ODg+OCt+ODp+ODsw==
SXRzIHRoZSBleGFjdCBzZWNvbmQgSSBwdXQgdGhlIHJvYmUgZG93bg==	44Gd44GuMueVquebruOBruengeOBr+ODreODvOODluOCkue9ruOBjeOBvuOBmQ==
SGUgd2FzIEJFSElORCBtZSBiYWJlLiBIZSBuZXZlciBldmVuIGhhZCBhIGNhbnZhcyB1cCB0aGF0IGRheS4=	5b28IHdhcyBiZUhJTkQg56eBIOODmeOCpOODli4g44Gd44Gu5pel44Gv44CB44Kt44Oj44Oz44OQ44K544KS6L+944GE44Gk44GP44GT44Go44Gv44Gq44GL44Gj44Gf44CC
SXRzIG1lIHdhbGtpbmcgYmFjayBpbiB3aXRob3V0IHRoZSByb2Jl	5YOV44Gv44Ot44O844OW44Gq44GX44Gn5oi744Gj44Gm5q2p44GP
U28geW91J3ZlIGtub3duIHNpbmNlIHRoaXMgbW9ybmluZw==	5pyd44GL44KJ55+l44KJ44KM44KL
WW91IGxldCBtZSBwaWNrIG91dCBhIERSRVNT	RFJFU1PjgpLlj5fjgZHlj5bjgorjgb7jgZfjgofjgYY=
WW91IGxldCBtZSBzaXQgaW4gYSBjYXIgZm9yIGhhbGYgYW4gaG91ciBndWVzc2luZw==	6LuK44KS5Y2K5pmC6ZaT44GL44GR44Gm6LuK44Gr5bqn44Gj44Gm44G/44KI44GG
T0YgQ09VUlNFIGhlIGRpZA==	5b2844GM44GX44Gf44Kz44O844K5
SSdtIG5vdCBldmVuIGFuZ3J5LiBUaGF0cyB0aGUgYW5ub3lpbmcgcGFydC4=	5oCS44Gj44Gm44GE44KL44GT44Go44Gn44Gv44GC44KK44G+44Gb44KT44CCIOi/t+aDkeOBqumDqOWIhuOBp+OBmeOAgg==
QmFiZSBob2xkIG9u	44OZ44Kk44OWIOODm+ODvOODq+ODiSDkuIrjga4=
VHdvIGRheXMgYWdvIEkgd2FzIGluIGEgY2hhbmdpbmcgcm9vbSBzZW5kaW5nIGhpbSBwaG90b3M=	MuaXpeWJjeOAgeWGmeecn+OCkumAgeOCi+mDqOWxi+OCkuWkieWMluOBleOBm+OBvuOBl+OBnw==
QW5kIGhlIHdhcyB0ZXh0aW5nIG1lIGJhY2sgQkVHR0lORyBtZSB0byBsZXQgaGltIHBhaW50IG1lIGluIHRoYXQgbGluZ2VyaWU=	44Gd44GX44Gm44CB5b2844Gv56eB44KS6KOP6L+U44GX44Gm44CB5b2844Gr44Gd44Gu44Or44ON44Oq44Gn56eB44KS44Oa44Kk44Oz44OI44GZ44KL44KI44GG44Gr56eB44Gr6Kqe44Gj44Gm44GE44Gf
SGUgd2FzIGFscmVhZHkgcGFpbnRpbmcgbWU=	44GZ44Gn44Gr56eB44KS5o+P44GE44Gf
